Sentiment Analysis:
------------------------ Sentiment of Articles ------------------------
225.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
226.txt	{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.6597}
227.txt	{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.3612}
228.txt	{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.5994}
229.txt	{'neg': 0.074, 'neu': 0.829, 'pos': 0.097, 'compound': 0.7311}
230.txt	{'neg': 0.033, 'neu': 0.749, 'pos': 0.218, 'compound': 0.9493}
231.txt	{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}
232.txt	{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.8126}
233.txt	{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}
234.txt	{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3612}
235.txt	{'neg': 0.018, 'neu': 0.982, 'pos': 0.0, 'compound': -0.0516}
236.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
237.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
238.txt	{'neg': 0.048, 'neu': 0.913, 'pos': 0.039, 'compound': -0.1027}
239.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
240.txt	{'neg': 0.0, 'neu': 0.953, 'pos': 0.047, 'compound': 0.3182}
241.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
242.txt	{'neg': 0.15, 'neu': 0.789, 'pos': 0.061, 'compound': -0.6697}
243.txt	{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.4404}
244.txt	{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.7964}
245.txt	{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.296}
246.txt	{'neg': 0.049, 'neu': 0.837, 'pos': 0.114, 'compound': 0.802}
247.txt	{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.7003}
248.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
249.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
250.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
251.txt	{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.4404}
252.txt	{'neg': 0.19, 'neu': 0.652, 'pos': 0.158, 'compound': -0.5095}
253.txt	{'neg': 0.165, 'neu': 0.835, 'pos': 0.0, 'compound': -0.7579}
254.txt	{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.6597}
255.txt	{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.34}
256.txt	{'neg': 0.094, 'neu': 0.827, 'pos': 0.079, 'compound': -0.2023}
257.txt	{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.802}
258.txt	{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.7351}
259.txt	{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4404}
260.txt	{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}
261.txt	{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.2263}
262.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
263.txt	{'neg': 0.157, 'neu': 0.678, 'pos': 0.165, 'compound': -0.1531}
264.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
